holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
'None',285.89,0,0,1,'Clear','sky is clear',274
'None',284.2,0.25,0,75,'Rain','light rain',3947
'None',289.08,1.86,0,90,'Thunderstorm','thunderstorm',282
'None',292.06,0,0,90,'Mist','mist',3389
'None',260.5,0.25,0,64,'Mist','mist',2926
'None',274.88,0.25,0,90,'Rain','light rain',5104
'None',287.48,7.39,0,90,'Rain','heavy intensity rain',5811
'None',286.81,0.76,0,56,'Rain','light rain',5747
'None',285.05,0,0,1,'Clear','sky is clear',297
'None',282.59,0.64,0,92,'Rain','moderate rain',3452
'None',285.73,0.85,0,90,'Drizzle','drizzle',5786
'None',288.72,0,0,90,'Rain','moderate rain',5094
'None',282.07,4.27,0,92,'Rain','heavy intensity rain',340
'None',297.38,1.52,0,1,'Thunderstorm','proximity thunderstorm',310
'None',283.94,0.25,0,90,'Drizzle','light intensity drizzle',4973
'None',292.67,9.9,0,92,'Rain','heavy intensity rain',4792
'None',284.26,0.25,0,92,'Mist','mist',4480
'None',299.47,0.25,0,75,'Thunderstorm','proximity thunderstorm',3945
'None',289.88,0.43,0,90,'Rain','moderate rain',5411
'None',294.36,1.31,0,90,'Rain','moderate rain',4423
'None',293.03,0.6,0,64,'Rain','light rain',484
'None',296.15,0,0,75,'Thunderstorm','thunderstorm with light rain',2497
'None',276.25,0.25,0,90,'Rain','light rain',6290
'None',264.17,0,0,1,'Clear','sky is clear',835
'None',293.15,0,0,75,'Clouds','broken clouds',3148
'None',284.49,0,0,90,'Haze','haze',6080
'None',286.57,0.47,0,90,'Rain','light rain',5080
'None',292.35,0.51,0,68,'Rain','light rain',269
'None',279.62,0.54,0,90,'Rain','light rain',731
'None',297.44,0,0,90,'Thunderstorm','proximity thunderstorm',3177
'None',294.02,2.86,0,75,'Thunderstorm','proximity thunderstorm',2441
'None',290.08,0.25,0,90,'Mist','mist',400
'None',274.02,0,0,90,'Mist','mist',789
'None',293.53,1.27,0,90,'Mist','mist',2780
'None',271.93,0.25,0,75,'Rain','light rain',6194
'None',294.82,0.51,0,90,'Rain','light rain',2627
'None',279.93,0,0,75,'Clouds','broken clouds',4837
'None',282.87,0.25,0,90,'Rain','light rain',311
'None',288.62,4.74,0,90,'Thunderstorm','thunderstorm with heavy rain',826
'None',284.08,0,0,75,'Clouds','broken clouds',5067
'None',274.94,0.3,0,75,'Rain','light rain',3197
'None',272.73,1.02,0,90,'Rain','moderate rain',4147
'None',273.5,0,0,20,'Clouds','few clouds',4181
'None',272.58,0,0,90,'Clouds','overcast clouds',235
'None',296.95,1.78,0,90,'Rain','heavy intensity rain',337
'None',288.58,0,0,20,'Clouds','few clouds',4753
'None',286.15,0,0,90,'Rain','light rain',2776
'None',294.22,0,0,1,'Clear','sky is clear',4603
'None',291.48,1.78,0,90,'Mist','mist',4100
'None',290.83,0.51,0,90,'Rain','moderate rain',3941
'None',277,0,0,0,'Clear','Sky is Clear',351
'None',292.56,5.08,0,90,'Rain','heavy intensity rain',1657
'None',292.83,0.25,0,1,'Mist','mist',1475
'None',288.57,0.64,0,90,'Mist','mist',2928
'None',291.15,1.78,0,1,'Fog','fog',2134
'None',274.39,0.76,0,90,'Fog','fog',4760
'None',286.25,2.03,0,1,'Rain','moderate rain',993
'None',289.67,2.79,0,90,'Rain','moderate rain',5611
'None',271.74,0.25,0,40,'Rain','light rain',3813
'None',279.33,1.25,0,40,'Rain','moderate rain',3439
'None',292.54,1.09,0,90,'Drizzle','drizzle',5907
'None',292.15,10.16,0,90,'Thunderstorm','thunderstorm with heavy rain',278
'None',274.47,0.25,0,64,'Rain','light rain',453
'None',266.94,0,0,90,'Snow','light snow',5606
'None',279.11,0,0,75,'Rain','moderate rain',1454
'None',272.45,2.85,0,90,'Rain','moderate rain',487
'None',265.22,0,0,75,'Snow','light snow',2549
'None',286.34,0.25,0,90,'Rain','light rain',5181
'None',290.35,0,0,1,'Clear','sky is clear',509
'None',299.39,1.15,0,75,'Rain','moderate rain',4289
'None',295.6,2.76,0,90,'Rain','heavy intensity rain',5667
'None',287.32,0.51,0,90,'Rain','light rain',3695
'None',298.92,0,0,1,'Clear','sky is clear',4339
'None',289.63,0,0,90,'Clouds','overcast clouds',4497
'None',263.34,0,0,40,'Clouds','scattered clouds',3508
'None',281.45,0.25,0,1,'Rain','light rain',4855
'None',287.45,0,0,1,'Clear','sky is clear',350
'None',270.54,0.76,0,64,'Rain','light rain',812
'None',294.49,1.78,0,92,'Rain','moderate rain',5945
'None',294.1,7.51,0,90,'Mist','mist',2499
'None',268.85,0,0,64,'Clouds','broken clouds',7015
'None',294.29,3.56,0,92,'Rain','moderate rain',3667
'None',299.52,0,0,0,'Clear','Sky is Clear',4724
'None',288.12,0.51,0,40,'Rain','light rain',281
'None',268.97,0,0,90,'Haze','haze',6219
'None',272.51,0.25,0,90,'Rain','light rain',2396
'None',290.08,0,0,75,'Clouds','broken clouds',5404
'None',295.29,0,0,90,'Rain','light rain',2937
'None',256.14,0,0,64,'Snow','light snow',4978
'None',291.44,0.51,0,90,'Rain','moderate rain',5723
'None',282.35,0.6,0,90,'Drizzle','light intensity drizzle',2722
'None',285.24,0.25,0,40,'Rain','light rain',5886
'None',275.5,0.41,0,64,'Rain','light rain',5012
'None',259.47,0,0,1,'Clear','sky is clear',1048
'None',293.27,0,0,44,'Clouds','scattered clouds',4870
'None',276.36,0,0,90,'Mist','mist',6629
'None',299.24,0.25,0,0,'Rain','light rain',5662
'None',276.96,0,0,75,'Clouds','broken clouds',496
'None',276.46,0,0,75,'Clouds','broken clouds',5622
'None',278.56,0.25,0,1,'Rain','light rain',6033
'None',288.62,0.25,0,1,'Mist','mist',417
'None',293.72,0,0,90,'Mist','mist',286
'None',291.89,2.54,0,76,'Thunderstorm','proximity thunderstorm',635
'None',299.2,0.25,0,8,'Mist','mist',4990
'None',297.61,12.7,0,90,'Rain','heavy intensity rain',3389
'None',282.58,0,0,1,'Clear','sky is clear',701
'None',287.42,0,0,90,'Mist','mist',5800
'None',282.42,0.25,0,90,'Rain','light rain',5285
'None',298.62,0,0,20,'Clouds','few clouds',3419
'None',274,0,0,40,'Clouds','scattered clouds',325
'None',294.58,0,0,40,'Clouds','scattered clouds',4569
'None',267.44,0,0,1,'Snow','light snow',5137
'None',295.8,0.76,0,90,'Mist','mist',6550
'None',289.47,7.11,0,92,'Thunderstorm','proximity thunderstorm',386
'None',300,1.78,0,90,'Rain','moderate rain',4880
'None',286.33,0,0,75,'Rain','light rain',516
'None',282.74,0.25,0,90,'Rain','light rain',2793
'None',281.01,0,0,1,'Drizzle','light intensity drizzle',6472
'None',277.96,0.68,0,90,'Rain','light rain',6374
'None',273.58,0,0,90,'Snow','heavy snow',3085
'None',284.74,0,0,90,'Drizzle','light intensity drizzle',5085
'None',292.97,1.09,0,75,'Thunderstorm','thunderstorm with rain',5700
'None',282.65,0.25,0,75,'Mist','mist',265
'None',273.92,0,0,90,'Rain','light rain',1988
'None',288.84,0.34,0,90,'Rain','light rain',4675
'None',282.02,0,0,100,'Mist','mist',3815
'None',290.97,5.42,0,90,'Thunderstorm','thunderstorm',6331
'None',271.15,0,0,90,'Fog','fog',2887
'None',275.96,0,0,90,'Drizzle','drizzle',5949
'None',285.49,0.25,0,1,'Mist','mist',1008
'None',284.13,0.25,0,90,'Rain','moderate rain',4549
'None',286.81,0.47,0,92,'Mist','mist',4245
'None',288.18,0.25,0,90,'Drizzle','light intensity drizzle',867
'None',298.21,18.03,0,0,'Rain','very heavy rain',6443
'None',276.54,0,0,1,'Clear','sky is clear',4442
'None',296.14,8.02,0,40,'Rain','heavy intensity rain',5101
'None',290.43,0,0,75,'Clouds','broken clouds',6045
'None',289.16,0,0,40,'Clouds','scattered clouds',353
'None',293.83,0.64,0,76,'Rain','light rain',4732
'None',283.31,0.25,0,76,'Drizzle','light intensity drizzle',4724
'None',300.31,0.51,0,68,'Rain','light rain',436
'None',284.35,1.02,0,90,'Drizzle','light intensity drizzle',3929
'None',294.08,0.51,0,64,'Rain','light rain',5320
'None',269.84,0,0,90,'Mist','mist',5059
'None',276.12,0.35,0,64,'Drizzle','light intensity drizzle',3867
'None',300.46,0.25,0,12,'Rain','light rain',3147
'None',255.22,0,0,1,'Clear','sky is clear',2720
'None',300.53,0.3,0,40,'Rain','light rain',3978
'None',287.12,0.25,0,92,'Mist','mist',5666
'None',289.66,0.51,0,92,'Haze','haze',4861
'None',279.21,0,0,90,'Clouds','overcast clouds',6654
'None',284.2,0,0,0,'Clear','Sky is Clear',4045
'None',295.58,0.25,0,5,'Rain','light rain',2815
'None',292.54,1.09,0,90,'Mist','mist',5907
'None',281.1,0.64,0,90,'Rain','light rain',4554
'None',264.05,0,0,90,'Snow','light snow',5054
'None',293.68,0.25,0,90,'Rain','moderate rain',3050
'None',282.72,0,0,1,'Haze','haze',2026
'None',282.98,0.51,0,90,'Rain','light rain',833
'None',295.72,0.3,0,90,'Rain','light rain',3515
'None',291.08,0,0,90,'Rain','light rain',5769
'None',288.71,0.86,0,90,'Mist','mist',4326
'None',289.81,0.25,0,24,'Rain','light rain',5886
'None',298.77,0,0,0,'Clear','Sky is Clear',5642
'None',295.29,0,0,75,'Clouds','broken clouds',5901
'None',293.85,3.13,0,90,'Mist','mist',5199
'None',291.83,0.25,0,90,'Rain','light rain',1633
'None',274.8,0,0,90,'Mist','mist',2624
'None',255.95,0,0,64,'Clouds','broken clouds',1907
'None',289.76,2.85,0,90,'Drizzle','light intensity drizzle',5327
'None',289.91,1.52,0,80,'Rain','moderate rain',822
'None',267.254,0,0,0,'Clear','Sky is Clear',671
'None',284.22,0,0,1,'Clear','sky is clear',680
'None',291.39,0,0,90,'Rain','light rain',741
'None',284.55,5.21,0,90,'Mist','mist',3494
'None',291.89,2.79,0,20,'Rain','moderate rain',396
'None',296.57,0.3,0,90,'Rain','proximity shower rain',1936
'None',290.41,2.29,0,76,'Rain','moderate rain',4356
'None',291.84,6.1,0,90,'Mist','mist',2679
'None',268.58,0,0,5,'Clear','sky is clear',2848
'None',274.3,1.27,0,64,'Fog','fog',4739
'None',291.29,0,0,1,'Clear','sky is clear',355
'None',289.16,0.25,0,90,'Rain','light rain',379
'None',289.54,0.25,0,92,'Rain','light rain',5093
'None',296.97,0.25,0,0,'Rain','light rain',6282
'None',284.27,0.25,0,75,'Thunderstorm','proximity thunderstorm',6108
'None',290.82,0.64,0,90,'Rain','moderate rain',5406
'None',289.56,0.25,0,90,'Rain','light rain',1034
'None',282.89,0,0,1,'Clear','sky is clear',3058
'None',286.05,0.3,0,1,'Mist','mist',425
'None',274.46,1.02,0,64,'Mist','mist',5655
'None',293.22,7.25,0,90,'Rain','heavy intensity rain',626
'None',269.42,0,0,90,'Snow','light snow',572
'None',276.36,0,0,1,'Clear','sky is clear',4874
'None',251.9,0,0,1,'Clear','sky is clear',5953
'None',247.15,0,0,5,'Clear','sky is clear',959
'None',271.21,0,0,90,'Clouds','overcast clouds',767
'None',285.07,0.25,0,64,'Rain','light rain',5385
'None',296.75,0,0,1,'Clear','sky is clear',6109
'None',294.8,0.9,0,90,'Mist','mist',954
'None',286.63,0,0,40,'Mist','mist',402
'None',292.82,1.49,0,36,'Rain','moderate rain',814
'None',300.88,0,0,40,'Clouds','scattered clouds',44
'None',291.74,4,0,90,'Drizzle','heavy intensity drizzle',4391
'None',282.88,0.91,0,90,'Rain','light rain',2331
'None',299.49,0,0,40,'Rain','light rain',393
'None',298.48,0,0,1,'Clear','sky is clear',3882
'None',303.82,0,0,40,'Clouds','scattered clouds',4012
'None',272.52,0.25,0,90,'Rain','light rain',2786
'None',295.07,0.81,0,75,'Rain','moderate rain',6352
'None',291.22,1.02,0,1,'Rain','moderate rain',325
'None',284.64,0,0,40,'Clouds','scattered clouds',4239
'None',292.08,0,0,1,'Clear','sky is clear',4926
'None',289.48,9.53,0,90,'Rain','heavy intensity rain',852
'None',262.65,18.8,0,64,'Rain','very heavy rain',2755
'None',291.83,2.7,0,90,'Drizzle','light intensity drizzle',2776
'None',272.15,0,0,1,'Clear','sky is clear',5505
'None',290.65,0.76,0,64,'Rain','moderate rain',402
'None',285.73,0.85,0,90,'Mist','mist',5786
'None',271.48,0,0,1,'Clear','sky is clear',974
'None',280.68,0.25,0,1,'Rain','light rain',3759
'None',267.72,0.25,0,90,'Rain','light rain',3901
'None',275.82,0,0,90,'Rain','moderate rain',4232
'None',282.62,0.51,0,92,'Mist','mist',4833
'None',286.08,2.79,0,1,'Rain','moderate rain',570
'None',296.23,0.55,0,40,'Rain','moderate rain',4416
'None',279.71,0.59,0,90,'Rain','light rain',3283
'None',272.58,0,0,1,'Mist','mist',664
'None',284.75,0.87,0,40,'Rain','light rain',5048
'None',300.82,0,0,1,'Clear','sky is clear',1294
'None',276.01,0,0,90,'Mist','mist',4598
'None',293.83,0,0,76,'Clouds','broken clouds',4300
'None',297.58,0,0,40,'Clouds','scattered clouds',3881
'None',292.93,0.3,0,1,'Mist','mist',5334
'None',287.81,0.25,0,90,'Rain','light rain',306
'None',286.36,0,0,90,'Clouds','overcast clouds',5828
'None',293.17,3.44,0,90,'Rain','moderate rain',2609
'None',295.8,0.76,0,90,'Rain','moderate rain',6550
'None',274.33,0.25,0,20,'Rain','light rain',5579
'None',293.53,0.25,0,92,'Rain','light rain',4662
'None',272.35,0.25,0,64,'Rain','light rain',5793
'None',293.931,0,0,8,'Clear','sky is clear',2935
'None',295.91,0.25,0,90,'Mist','mist',4578
'None',278.28,0,0,1,'Mist','mist',6860
'None',294.46,0.25,0,90,'Rain','light rain',1012
'None',273.22,0,0.08,90,'Mist','mist',401
'None',288.75,0,0,1,'Clear','sky is clear',5767
'None',285.97,0.64,0,90,'Thunderstorm','proximity thunderstorm',1180
'None',294.33,0.25,0,90,'Rain','light rain',901
'None',258.78,0.25,0,64,'Rain','light rain',600
'None',268.43,0.51,0,64,'Rain','light rain',2666
'None',291.31,0.51,0,90,'Rain','light rain',826
'None',285.57,1.02,0,90,'Thunderstorm','proximity thunderstorm',1734
'None',264.53,14.73,0,64,'Mist','mist',610
'None',278.13,0.91,0,40,'Rain','light rain',6347
'None',295.03,5.97,0,64,'Rain','heavy intensity rain',3216
'None',290.82,0.76,0,90,'Mist','mist',5181
'None',279.67,0.65,0,90,'Rain','light rain',314
'None',294.04,0.51,0,92,'Rain','light rain',1461
'None',297.95,0,0,5,'Clear','sky is clear',3239
'None',271.21,0,0,90,'Mist','mist',1243
'None',283.23,0.25,0,92,'Rain','light rain',6787
'None',294.69,0.25,0,40,'Rain','light rain',1607
'None',294.25,3.4,0,90,'Mist','mist',4040
'None',279.15,0,0,1,'Clear','sky is clear',4524
'None',293.99,0,0,0,'Clear','Sky is Clear',659
'None',286.03,0,0,1,'Clear','sky is clear',5208
'None',271.06,2.03,0,90,'Rain','moderate rain',375
'None',276.37,1.5,0,90,'Rain','moderate rain',5537
'None',264.29,0,0,1,'Fog','fog',2105
'None',293.37,0.85,0,90,'Rain','light rain',851
'None',264.88,0,0,90,'Clouds','overcast clouds',548
'None',291.92,0.51,0,90,'Mist','mist',2853
'None',275.62,0,0,75,'Clouds','broken clouds',1115
'None',290.78,1.78,0,1,'Rain','moderate rain',382
'None',285.65,4.09,0,90,'Drizzle','light intensity drizzle',3925
'None',294.11,0.25,0,5,'Rain','light rain',5308
'None',293.17,1.02,0,75,'Rain','heavy intensity rain',874
'None',286.66,0.25,0,90,'Drizzle','drizzle',2543
'None',284.22,0,0,90,'Clouds','overcast clouds',3226
'Thanksgiving Day',278.54,0,0,20,'Mist','mist',919
'None',291.7,0.41,0,36,'Rain','moderate rain',1122
'None',264.7,0.25,0,90,'Snow','light snow',4270
'None',279.16,0.25,0,90,'Rain','light rain',556
'None',270.26,0,0,64,'Mist','mist',831
'None',276.19,0.32,0,1,'Rain','light rain',2758
'None',258.42,0,0,1,'Clear','sky is clear',237
'None',300.84,1.78,0,1,'Rain','moderate rain',6535
'None',279.85,0.7,0,90,'Rain','light rain',3740
'None',302.29,0,0,40,'Rain','moderate rain',429
'None',287.95,1.78,0,92,'Rain','moderate rain',3005
'None',292.64,0.25,0,1,'Rain','light rain',5908
'None',290.4,0.76,0,90,'Mist','mist',1820
'None',261.39,0,0,1,'Clear','sky is clear',6493
'None',280.24,0.83,0,90,'Rain','light rain',2394
'None',264.57,0,0,1,'Clear','sky is clear',4289
'None',271.6,0,0,90,'Snow','snow',2543
'None',267.81,0,0,1,'Clear','sky is clear',2396
'None',277.61,0.51,0,1,'Rain','light rain',3271
'None',285.48,0.3,0,90,'Drizzle','drizzle',812
'None',292.55,0.79,0,90,'Rain','moderate rain',1447
'None',285.93,1.66,0,90,'Rain','moderate rain',4991
'None',292.06,0,0,24,'Clouds','few clouds',4540
'None',286.69,0.57,0,92,'Mist','mist',2821
'None',268.33,0,0,1,'Clear','sky is clear',4795
'None',298,1.02,0,40,'Rain','moderate rain',4541
'None',274.33,0.98,0.51,90,'Rain','moderate rain',5167
'None',283.29,0.51,0,0,'Rain','light rain',5674
'None',261.46,0,0,75,'Snow','light snow',521
'None',284.71,0.51,0,90,'Mist','mist',4925
'None',280.15,0,0,90,'Drizzle','drizzle',354
'None',299.08,0.51,0,92,'Rain','light rain',5876
'None',277.63,0.51,0,20,'Rain','light rain',3430
'None',291.17,0.25,0,1,'Rain','light rain',2823
'None',274.74,1.02,0,90,'Rain','moderate rain',4674
'None',301.57,1.78,0,40,'Rain','moderate rain',5586
'None',294.09,0.25,0,92,'Rain','light rain',5523
'None',268.34,0.25,0,90,'Rain','light rain',2519
'None',267.55,0,0,90,'Mist','mist',4484
'None',276.61,0,0,1,'Clear','sky is clear',3854
'None',273.47,0,0,90,'Snow','heavy snow',4614
'None',278.02,1.46,0,90,'Rain','moderate rain',5021
'None',276.79,0,0,90,'Mist','mist',5099
'None',275.35,0,0,1,'Clear','sky is clear',223
'None',283.35,0.25,0,92,'Rain','light rain',5670
